Month_Index,Date,Philippines PSE PSEi - Close
1,6/28/02,1156.35
2,7/31/02,1123.24
3,8/30/02,1103.36
4,9/30/02,1129.34
5,10/30/02,1048.53
6,11/29/02,1047.22
7,12/27/02,1018.41
8,1/31/03,1056.69
9,2/28/03,1019.33
10,3/31/03,1039.67
11,4/30/03,1068.15
12,5/30/03,1073.69
13,6/30/03,1222.8
14,7/31/03,1240.42
15,8/29/03,1192.83
16,9/30/03,1297.42
17,10/31/03,1399.07
18,11/28/03,1313.87
19,12/30/03,1442.37
20,1/30/04,1508.3
21,2/27/04,1483.18
22,3/31/04,1424.33
23,4/30/04,1555.01
24,5/31/04,1511.36
25,6/30/04,1579.4
26,7/30/04,1584.7
27,8/31/04,1579.83
28,9/30/04,1761.57
29,10/29/04,1819.03
30,11/30/04,1830.96
31,12/29/04,1822.83
32,1/31/05,2019.56
33,2/28/05,2079.99
34,3/31/05,1954.69
35,4/29/05,1854.63
36,5/31/05,1929.38
37,6/30/05,1924.23
38,7/29/05,2000.25
39,8/31/05,1936.9
40,9/30/05,1942.07
41,10/28/05,1960.22
42,11/30/05,2107.36
43,12/29/05,2096.04
44,1/31/06,2145.39
45,2/28/06,2122.96
46,3/31/06,2195.95
47,4/28/06,2270.53
48,5/31/06,2296.11
49,6/30/06,2178.79
50,7/31/06,2390.84
51,8/31/06,2312.23
52,9/27/06,2556.71
53,10/31/06,2708.5
54,11/30/06,2788.46
55,12/29/06,2982.54
56,1/31/07,3239.27
57,2/28/07,3067.45
58,3/30/07,3203.55
59,4/30/07,3270.73
60,5/31/07,3474.67
61,6/29/07,3660.86
62,7/31/07,3501.2
63,8/31/07,3365.29
64,9/28/07,3572.9
65,10/31/07,3758.97
66,11/29/07,3578.55
67,12/28/07,3621.6
68,1/31/08,3266
69,2/29/08,3129.99
70,3/31/08,2984.67
71,4/30/08,2749.77
72,5/30/08,2827.44
73,6/30/08,2459.98
74,7/31/08,2577.1
75,8/29/08,2688.09
76,9/30/08,2569.65
77,10/31/08,1951.09
78,11/28/08,1971.57
79,12/24/08,1872.85
80,1/30/09,1825.09
81,2/27/09,1872.22
82,3/31/09,1986.22
83,4/30/09,2103.5
84,5/29/09,2389.31
85,6/30/09,2437.99
86,7/31/09,2798.33
87,8/28/09,2884.18
88,9/30/09,2800.82
89,10/30/09,2908.5
90,11/27/09,3044.97
91,12/29/09,3052.68
92,1/29/10,2953.19
93,2/26/10,3043.75
94,3/31/10,3161.8
95,4/30/10,3290.09
96,5/31/10,3272.73
97,6/29/10,3372.71
98,7/30/10,3426.95
99,8/31/10,3566.23
100,9/30/10,4100.07
101,10/29/10,4268.74
102,11/30/10,3953.7
103,12/30/10,4201.14
104,1/31/11,3881.47
105,2/28/11,3766.73
106,3/31/11,4055.14
107,4/29/11,4319.51
108,5/31/11,4244.64
109,6/30/11,4291.21
110,7/29/11,4503.63
111,8/31/11,4348.5
112,9/30/11,3999.65
113,10/28/11,4333.72
114,11/29/11,4211.04
115,12/29/11,4371.96
116,1/31/12,4682.44
117,2/29/12,4897.65
118,3/30/12,5107.73
119,4/30/12,5202.7
120,5/31/12,5091.23
121,6/29/12,5246.41
,,
