Month_Index,Date,USD/PHP - Close
1,6/28/02,50.32
2,7/31/02,51.27
3,8/30/02,51.84
4,9/30/02,52.43
5,10/31/02,53.13
6,11/29/02,53.52
7,12/31/02,53.38
8,1/31/03,53.83
9,2/28/03,54.53
10,3/31/03,53.52
11,4/30/03,52.48
12,5/30/03,53.27
13,6/30/03,53.45
14,7/31/03,54.73
15,8/29/03,54.97
16,9/30/03,54.87
17,10/31/03,55.32
18,11/28/03,55.73
19,12/31/03,55.52
20,1/30/04,55.9
21,2/27/04,56.32
22,3/31/04,56.17
23,4/30/04,56
24,5/28/04,55.9
25,6/30/04,56.15
26,7/30/04,55.98
27,8/31/04,56.17
28,9/30/04,56.28
29,10/29/04,56.33
30,11/30/04,56.2
31,12/31/04,56.13
32,1/31/05,55.08
33,2/28/05,54.67
34,3/31/05,54.93
35,4/29/05,54.16
36,5/31/05,54.52
37,6/30/05,55.92
38,7/29/05,56.1
39,8/31/05,56.3
40,9/30/05,56.04
41,10/31/05,54.89
42,11/30/05,53.99
43,12/30/05,53.03
44,1/31/06,52.15
45,2/28/06,51.66
46,3/31/06,51.16
47,4/28/06,51.77
48,5/31/06,52.86
49,6/30/06,53.13
50,7/31/06,51.47
51,8/31/06,50.78
52,9/29/06,50.19
53,10/31/06,49.84
54,11/30/06,49.66
55,12/29/06,49.01
56,1/31/07,48.9
57,2/28/07,48.53
58,3/30/07,48.25
59,4/30/07,47.61
60,5/31/07,46.28
61,6/29/07,46.25
62,7/31/07,45.34
63,8/31/07,46.54
64,9/28/07,45.05
65,10/31/07,43.68
66,11/30/07,42.77
67,12/31/07,41.27
68,1/31/08,40.55
69,2/29/08,40.47
70,3/31/08,41.77
71,4/30/08,42.27
72,5/30/08,43.77
73,6/30/08,44.9
74,7/31/08,44.16
75,8/29/08,45.91
76,9/30/08,47.05
77,10/31/08,48.92
78,11/28/08,48.98
79,12/31/08,47.55
80,1/30/09,47.37
81,2/27/09,48.79
82,3/31/09,48.33
83,4/30/09,48.36
84,5/29/09,47.34
85,6/30/09,48.13
86,7/31/09,48.08
87,8/31/09,48.8
88,9/30/09,47.38
89,10/30/09,47.62
90,11/30/09,47.22
91,12/31/09,46.23
92,1/29/10,46.5
93,2/26/10,46.13
94,3/31/10,45.19
95,4/30/10,44.46
96,5/28/10,46.27
97,6/30/10,46.35
98,7/30/10,45.55
99,8/31/10,45.36
100,9/30/10,43.88
101,10/29/10,43.02
102,11/30/10,44.01
103,12/31/10,43.81
104,1/31/11,44.29
105,2/28/11,43.59
106,3/31/11,43.4
107,4/29/11,42.81
108,5/31/11,43.26
109,6/30/11,43.34
110,7/29/11,42.14
111,8/31/11,42.29
112,9/30/11,43.73
113,10/31/11,42.63
114,11/30/11,43.62
115,12/30/11,43.85
116,1/31/12,42.88
117,2/29/12,42.76
118,3/30/12,42.94
119,4/30/12,42.22
120,5/31/12,43.51
121,6/29/12,42.13
,,
,,
